,epoch,train_accuracy_simple,train_accuracy_distil,train_loss_simple,train_loss_distil,valid_accuracy_simple,valid_accuracy_distil
99,99,0.33846,0.3382,0.0013002180051803589,4.812966884765625,0.33698,0.33776
100,100,0.3393,0.33876,0.0012985992193222046,4.812048413085938,0.33754,0.33844
101,101,0.3397,0.33942,0.0012969671392440796,4.8111344091796875,0.33808,0.33874
102,102,0.34018,0.3401,0.0012953616905212403,4.8102229248046875,0.33854,0.33914
103,103,0.34076,0.3406,0.0012937428617477416,4.809318696289062,0.33964,0.33966
104,104,0.34116,0.34118,0.0012921373653411866,4.80841158203125,0.3397,0.34038
105,105,0.34214,0.34202,0.0012905571174621582,4.8075143505859375,0.34048,0.341
106,106,0.34246,0.3428,0.0012889684104919433,4.806619887695312,0.34142,0.34178
107,107,0.34318,0.34332,0.0012873910093307494,4.805725375976563,0.34198,0.34226
108,108,0.34378,0.34386,0.0012858223676681518,4.804837470703125,0.34252,0.34298
109,109,0.34456,0.34448,0.0012842475605010987,4.803952377929687,0.3433,0.34328
110,110,0.34528,0.34504,0.0012826681804656982,4.8030696484375,0.34376,0.3439
111,111,0.34586,0.34552,0.0012811140489578246,4.802194482421875,0.3444,0.34458
112,112,0.34646,0.3463,0.001279569149017334,4.801314248046875,0.34512,0.34496
113,113,0.34686,0.34696,0.0012780210494995118,4.8004354296875,0.34556,0.346
114,114,0.34732,0.34746,0.0012764850330352782,4.7995719921875,0.34618,0.3465
115,115,0.34806,0.34832,0.0012749429845809936,4.798704345703125,0.34652,0.34706
116,116,0.34864,0.34874,0.0012734145545959473,4.7978462109375,0.347,0.34804
117,117,0.34892,0.34928,0.0012718857955932618,4.796990400390625,0.34774,0.34868
118,118,0.34944,0.34988,0.0012703595638275146,4.796138588867188,0.3482,0.3492
119,119,0.35018,0.35052,0.0012688448524475098,4.795289306640625,0.3488,0.34974
120,120,0.35074,0.3518,0.0012666963815689087,4.79406314453125,0.3509,0.35146
121,121,0.35194,0.35188,0.0012655440998077393,4.793545830078125,0.3514,0.35198
122,122,0.35206,0.3522,0.0012650383520126343,4.793251333007812,0.35156,0.35248
123,123,0.35242,0.35224,0.001264571361541748,4.7929914453125,0.35156,0.35276
124,124,0.35262,0.35242,0.001264106068611145,4.792732221679688,0.35172,0.35282
125,125,0.35282,0.35238,0.0012636394691467286,4.792471875,0.35196,0.35304
126,126,0.35298,0.35264,0.0012631729698181153,4.792216489257813,0.35212,0.35316
127,127,0.35334,0.35288,0.0012627108955383301,4.791955810546875,0.35236,0.35346
128,128,0.3535,0.35312,0.0012622472190856934,4.7917013671875,0.35256,0.3538
129,129,0.3537,0.35332,0.0012617840719223023,4.791444291992187,0.35272,0.35396
130,130,0.35386,0.35356,0.0012613285970687867,4.7911902734375,0.35268,0.35422
131,131,0.35386,0.35384,0.0012608654308319091,4.790936665039062,0.3528,0.35446
132,132,0.35416,0.35396,0.0012604128170013427,4.79068244140625,0.35296,0.35446
133,133,0.35434,0.35418,0.0012599562215805055,4.790428828125,0.35312,0.35486
134,134,0.3543,0.35432,0.0012594929075241089,4.790177358398437,0.35322,0.355
135,135,0.35454,0.3545,0.0012590359973907472,4.789924580078125,0.35336,0.35512
136,136,0.35478,0.35468,0.001258582091331482,4.7896725,0.35334,0.35522
